,Title,Views,Comments,Link
1,The ONE REVELATION that SHOCKED Cristiano!,6.5M views,"35,148 Comments",https://youtube.com/watch?v=zuRujkxTv2Y
2,The real reason why I cried in Euro 24,5.6M views,"44,778 Comments",https://youtube.com/watch?v=55U2mLxARC4
3,MY GOAL: 1000 GOALS,6.3M views,"44,618 Comments",https://youtube.com/watch?v=i0GnOGG5Q-Y
4,A day in the life of Cristiano Ronaldo (Champions League Award Edition),6.9M views,"51,921 Comments",https://youtube.com/watch?v=C850U295CX4
5,I receive THE BIGGEST AWARD of the Champions League,5.4M views,"54,629 Comments",https://youtube.com/watch?v=eh0kXm62W9A
6,My thoughts on my 2023/24 season and the truth about my future. Talk with my friend Rio (PART 1),15M views,"102,841 Comments",https://youtube.com/watch?v=M8KHrlhDNIY
7,Georgina RATES MY OUTFITS from the last 20 years...You won't believe which one is her favorite!,20M views,"122,303 Comments",https://youtube.com/watch?v=tizVemSwwmc
8,"“Bernabéu… pressure… 90,000” 🔥🔥🔥",19M views,"174,060 Comments",https://youtube.com/watch?v=7JZPEeZFjKw
9,The golden button… for my golden kids,49M views,"244,263 Comments",https://youtube.com/watch?v=PbgUg_aBHf4
10,"This is how I felt when I discovered paradise… 🌊 THE RED SEA Project, Saudi",11M views,"65,171 Comments",https://youtube.com/watch?v=HQ8gIrd4Gyo
11,Discover EVERYTHING about us. Who will win?,43M views,"202,689 Comments",https://youtube.com/watch?v=I74FAkaL1Fk
12,Are you ready to discover my new channel?,18M views,"67,124 Comments",https://youtube.com/watch?v=35S7zTBFRhQ
13,Nadal or Djokovic? Box or UFC? NBA or NFL? These are my passions!,8.1M views,"24,393 Comments",https://youtube.com/watch?v=GqYpn_s1Hjg
14,This is how I manage the pressure of being Cristiano,6.6M views,"27,220 Comments",https://youtube.com/watch?v=hKR57pX7-fY
15,“You will know the real Cristiano and Georgina”,7.1M views,"16,921 Comments",https://youtube.com/watch?v=6BnBh01LOgA
16,Discover EVERYTHING about us. Who will win?,15M views,"99,304 Comments",https://youtube.com/watch?v=ORc2270vgqs
17,I rate my best Euro goals… with the SIUUUMETER,8.1M views,"23,724 Comments",https://youtube.com/watch?v=eWFxXJf5D_M
18,Cristiano Jr. dares to challenge me… with a freekick!,11M views,"18,699 Comments",https://youtube.com/watch?v=QdtDGyc3818
19,This is how I overcome adversity in life 💪,5.8M views,"16,532 Comments",https://youtube.com/watch?v=DhFZd3dlOQI
20,When I met the most famous Cristiano,34M views,"122,304 Comments",https://youtube.com/watch?v=jeDKsg8r3ew
